ID_kinopoisk;screens;budget;age_R;time;box_budget;rating;box;views;rezult;rezult4
1227963;1974;322350000;6;132;4,65;7;1500000000;6400000;1;3
1117991;8;79817750;18;64;0,29;4,9;366000;1800;0;0
1188248;1383;200064400;12;104;0,59;7,6;118000000;501000;0;0
1338313;31;79817750;16;115;0,29;7,9;4300000;12000;0;0
1118093;8;79817750;16;97;0,29;7,3;16000;62;0;0
1311137;125;57880000;16;99;0,02;6,9;959000;3700;0;0
1124682;1780;78000000;16;97;0,96;4,7;75000000;326000;0;0
1039764;153;39700000;16;76;0,02;5,3;790000;3400;0;0
1112295;1248;120000000;12;100;0,43;7,3;51000000;195000;0;0
1206431;1986;150000000;12;107;3,04;6,1;456000000;1800000;1;3
1311060;493;79817750;18;100;0,29;5,2;8700000;31000;0;0
1313568;24;79817750;16;135;0,29;7,2;615000;2300;0;0
1209570;44;79817750;6;128;0,29;5,9;89000;971;0;0
1234939;709;30000000;12;103;0,2;7,9;6000000;28000;0;0
1314719;954;79817750;12;92;0,29;4,8;8100000;33000;0;0
1254046;94;124091650;18;152;0;6,7;258000;684;0;0
994530;462;54000000;12;100;0,2;7,2;11000000;41000;0;0
1261545;96;61540000;0;90;0,01;4,9;656000;2900;0;0
1338272;383;79817750;16;90;0,29;5,6;3900000;16000;0;0
1366087;255;79817750;16;81;0,29;3,8;1700000;7300;0;0
1291182;551;76000000;12;100;0,32;5,3;24000000;96000;0;0
1189670;490;46000000;16;91;0,08;5,1;3900000;16000;0;0
841471;1192;786400000;6;115;0,14;4,9;109000000;487000;0;0
1261583;22;60668576;0;76;0;4,9;97000;359;0;0
1260096;103;79817750;6;72;0,29;6;306000;1700;0;0
1219167;161;38461539;12;92;0,03;6,2;1100000;4800;0;0
1402772;41;79817750;16;138;0,29;6;663000;1900;0;0
1379064;9;79817750;12;92;0,29;4,4;51000;95;0;0
1167867;1650;330000000;6;101;1,1;5,9;362000000;1500000;0;1
984359;1550;200000000;6;80;0,25;5,5;50000000;257000;0;0
1199541;230;79817750;16;100;0,29;6;3400000;11000;0;0
1272294;921;79817750;18;103;0,29;6,2;4100000;17000;0;0
4837786;14;79817750;12;85;0,29;6;3600000;13000;0;0
1252962;1569;79817750;12;101;0,29;6,6;87000000;346000;0;0
1309166;415;50000000;16;93;0,32;6,4;16000000;59000;0;0
1242705;628;100000000;16;112;0,13;5,8;13000000;51000;0;0
1399299;415;79817750;18;100;0,29;4,4;1300000;5000;0;0
1301899;99;79817750;16;129;0,29;6,5;689000;2100;0;0
1398964;918;50000000;16;91;0,54;5,3;27000000;107000;0;0
1199625;949;1000000;16;109;76;6,3;76000000;281000;1;3
1254059;1138;72000000;16;120;0,31;8,2;22000000;88000;0;0
1402924;85;10000000;18;78;0,04;5,4;428000;1600;0;0
999460;1287;79817750;16;80;0,29;4,7;28000000;118000;0;0
1199677;8;7214640;18;100;0,06;4,6;400000;1200;0;0
1320368;553;52209000;16;93;0,18;5,3;9200000;36000;0;0
1334853;930;125000000;16;115;0,34;5,1;42000000;166000;0;0
1191022;1607;420000000;12;136;0,21;7,2;90000000;366000;0;0
1445178;43;255000000;16;145;0,05;6,3;12000000;43000;0;0
1387177;36;79817750;16;73;0,29;6,9;217000;754;0;0
1285413;1278;150000000;16;98;0,18;4,9;27000000;105000;0;0
1234850;361;151472080;16;121;0,08;7;12000000;40000;0;0
1345717;1505;50000000;16;110;11,4;4,3;570000000;2200000;1;3
1204966;792;65000000;16;90;0,12;5,6;8000000;33000;0;0
1311031;1052;200000000;12;108;0,07;6,4;14000000;57000;0;0
1140013;67;79817750;16;86;0,29;5,6;243000;1300;0;0
1363062;449;79817750;6;90;0,29;4,3;1500000;6300;0;0
1395841;180;79817750;16;92;0,29;7;4900000;17000;0;0
1438350;15;28858560;16;90;0;7,2;14000;56;0;0
1311064;1571;79817750;12;115;0,29;7,1;80000000;326000;0;0
1331271;27;3000000;12;70;0,57;6,6;1700000;5400;0;0
1334856;549;79817750;16;122;0,29;6,4;21000000;71000;0;0
1390625;1401;102800000;6;83;0,27;6,2;28000000;129000;0;0
1309522;138;72146400;18;108;0,01;5,8;397000;1200;0;0
1399265;12;3968052;6;51;0,01;8,6;54000;212;0;0
1338253;1021;79817750;12;92;0,29;5,8;8200000;35000;0;0
1225587;1845;500000000;16;136;0,98;7,3;490000000;1700000;0;0
1189859;964;79817750;16;135;0,29;7,2;17000000;60000;0;0
1331265;1209;79817750;16;97;0,29;6,4;248000000;794000;0;0
1337697;130;47395947;6;85;0,01;7,6;386000;1500;0;0
1445155;736;79817750;16;80;0,29;6,5;8400000;34000;0;0
1309163;18;37595129;12;90;0;6,2;65000;230;0;0
1346360;1709;110456138;16;88;1,04;4,8;115000000;464000;0;1
1183599;1996;550000000;6;131;1,69;7,7;927000000;3300000;0;1
1249181;1125;150000000;6;76;0,47;8,2;70000000;320000;0;0
1113011;1738;180000000;6;77;2;7,2;360000000;1400000;1;2
1249172;2033;650000000;6;121;3,23;6,6;2100000000;7400000;1;3
1207408;644;79817750;16;88;0,29;6,6;22000000;80000;0;0
1402921;1668;60000000;16;92;1,25;4,8;75000000;300000;0;1
1101306;220;20000000;16;87;0,08;5,7;1500000;5100;0;0
1289029;1784;95000000;16;105;0,75;3,7;71000000;335000;0;0
4318308;33;3500000;16;84;1,97;6,2;6900000;25000;0;1
1234854;775;80000000;18;100;0,21;6,6;17000000;57000;0;0
1405916;37;1473082;16;82;0,07;4,7;97000;322;0;0
1291065;1628;150000000;6;92;0,15;7,3;22000000;121000;0;0
1392769;1302;79817750;16;105;0,29;5,7;27000000;104000;0;0
1388425;450;79817750;18;122;0,29;6,5;80000000;242000;0;0
1115749;75;79817750;12;80;0,29;4,4;5900000;23000;0;0
1443829;38;79817750;16;85;0,29;5,6;118000;479;0;0
1412516;1847;79817750;16;91;0,29;5,1;73000000;269000;0;0
1274271;1753;160000000;12;98;3,06;6,4;489000000;1900000;1;3
1445245;82;47734050;16;100;0,02;5,3;1100000;3300;0;0
1297221;1208;60000000;16;92;0,63;4,8;38000000;148000;0;0
4380538;7;79817750;16;94;0,29;6;578000;2400;0;0
1272474;1283;100000000;12;94;0,55;5,3;55000000;202000;0;0
1045583;1934;760000000;6;111;1,58;6,8;1200000000;4900000;0;1
1048740;150;79817750;16;93;0,29;6;1300000;4600;0;0
1392490;54;79817750;16;88;0,29;5,8;475000;1600;0;0
1395840;216;1500000;16;72;8;6,6;12000000;39000;1;3
1326397;1738;75000000;16;76;7,11;7;533000000;1900000;1;3
